radius,vphil,vphi,vphih,vphidispl,vphidisp,vphidisph,vradl,vrad,vradh,vraddispl,vraddisp,vraddisph 
 0.200, 4.852, 6.010, 7.575, 78.967,81.489, 83.084, 0.141, 1.434, 3.522, 78.274,79.133, 80.149
 0.400,19.332,20.182,22.285, 72.534,73.457, 74.578,-1.284, 0.125, 1.501, 72.694,73.714, 75.259
 0.600,30.761,32.237,33.489, 64.097,65.765, 67.118, 0.284, 1.248, 2.776, 65.957,66.900, 68.216
 0.800,37.414,38.587,40.025, 54.755,55.651, 57.152,-1.612,-0.659, 0.408, 56.963,58.030, 59.254
 1.000,39.658,41.058,42.230, 46.212,47.864, 49.021,-3.810,-2.782,-1.299, 50.474,51.578, 52.554
1.200,43.657,44.931,45.966, 38.267,39.415, 41.198,-5.305,-4.044,-2.432, 41.799,43.171, 44.466
 1.400,48.108,48.789,49.705, 34.703,35.683, 36.694,-2.807,-1.910,-1.135, 36.759,37.590, 38.932
 1.600,54.062,54.853,55.790, 30.901,32.510, 33.714,-6.357,-5.120,-4.269, 33.800,34.469, 35.910
 1.800,57.819,58.786,59.668, 28.740,29.966, 30.924,-6.170,-5.317,-4.524, 31.777,32.850, 33.899
 2.000,58.618,59.297,59.944, 27.948,28.626, 29.428,-5.946,-5.228,-4.524, 26.660,27.563, 28.351
 2.200,62.033,62.960,63.946, 24.332,24.901, 25.649,-8.050,-7.312,-6.725, 24.379,25.104, 25.806
 2.400,65.568,66.423,66.994, 22.040,22.822, 23.364,-6.256,-5.822,-5.163, 21.626,22.502, 22.887
 2.600,70.064,70.564,71.086, 19.133,19.829, 20.479,-6.806,-6.215,-5.586, 19.167,19.960, 20.667
 2.800,71.962,72.505,73.083, 18.441,18.913, 19.540,-6.426,-5.778,-5.308, 19.703,20.425, 20.958
 3.000,71.652,72.147,72.659, 16.673,17.186, 17.792,-5.856,-5.313,-4.545, 17.776,18.412, 18.984
 3.200,74.782,75.478,75.994, 17.503,18.252, 18.801,-5.478,-5.131,-4.525, 16.674,17.244, 17.999
 3.400,76.934,77.367,78.080, 16.385,17.082, 17.641,-5.822,-5.167,-4.691, 16.284,17.010, 17.521
 3.600,79.626,80.194,80.888, 14.840,15.244, 16.339,-4.255,-3.671,-3.163, 16.097,16.674, 17.329
 3.800,81.754,82.547,83.166, 12.559,13.078, 13.618,-5.378,-4.873,-4.252, 13.148,13.638, 14.060
 4.000,83.067,83.853,84.197, 11.171,11.921, 12.670,-6.814,-6.217,-5.672, 11.991,12.776, 13.532
 4.200,83.764,84.689,85.226, 10.552,11.268, 11.992,-4.829,-4.125,-3.360, 11.584,12.322, 12.930
 4.400,85.923,86.525,87.230, 10.155,10.892, 11.657,-6.446,-5.804,-5.085, 12.521,13.376, 14.147
 4.600,84.395,85.068,85.499,  9.667,10.253, 11.053,-8.091,-7.376,-6.420, 11.574,12.125, 12.707
 4.800,83.800,84.722,85.618,  7.612, 8.348,  8.903,-6.529,-5.946,-4.970,  7.819, 8.825,  9.806
 5.000,83.448,84.389,85.403,  8.421, 8.997,  9.559,-5.044,-3.958,-2.735,  9.102,10.316, 11.073
 5.200,83.543,85.006,85.582,  7.123, 8.380,  9.559,-6.539,-5.169,-4.312,  8.528, 9.739, 10.518
 5.400,86.272,87.026,88.316,  5.260, 5.933,  7.465,-6.077,-4.877,-3.495,  7.241, 8.689, 10.394
 5.600,85.067,85.840,86.976,  6.668, 7.699,  8.467,-7.305,-5.926,-4.461,  7.154, 8.398, 10.035
 5.800,84.179,85.127,86.333,  4.841, 5.992,  6.795,-6.011,-4.750,-4.267,  7.761, 8.673,  9.919
 6.000,85.067,86.054,87.078,  3.213, 4.041,  5.231,-2.086, 0.125, 2.316,  4.110, 5.940,  8.183
 6.200,83.392,85.114,86.568,  3.753, 4.725,  5.485,-1.752,-0.643, 0.170,  3.512, 5.016,  6.257
 6.400,79.134,80.188,82.128,  7.876, 8.920, 10.598,-3.746,-1.512, 1.664,  7.802, 9.512, 11.238
 6.600,81.867,83.082,85.122,  1.298, 2.943,  3.858,-2.068,-0.793, 0.878,  2.419, 5.972,  8.905
 6.800,78.375,81.265,83.248,  1.886, 3.742,  4.494,-2.040,-0.943, 2.910,  1.986, 4.615,  7.207
 7.000,81.910,84.937,86.799,  2.679, 5.780,  8.989,-1.917, 0.391, 2.786,  5.933, 9.462, 13.954
