Name (Abbreviation)	R.A.	decl.	rh	epsilon	theta	d	M_V	v_los	sigma_los	Referances	
Antlia II(Ant II)	143.8868	-36.7673	76.20 +or- 7.20	0.38 +or- 0.08	156.0 +or- 6.0	132.0 +or- 6.0	-9.03 +or- 0.15	290.7 +or- 0.5	5.71 +or- 1.08	a	
Aquarius II(Aqu II)	338.4813	-9.3274	5.10 +or- 0.80	0.39 +or- 0.09	121.0 +or- 9.0	107.9 +or- 3.3	-4.36 +or- 0.14	-71.1 +or- 2.5	5.4 +or- 2.15	b	
Bootes I(Boo I)	210.0200	14.5135	9.97 +or- 0.27	0.3 +or- 0.03	6.0 +or- 3.0	66.0 +or- 3.0	-6.02 +or- 0.25	101.8 +or- 0.7	4.6 +or- 0.7	c,d,e	
Bootes II(Boo II)	209.5141	12.8553	3.17 +or- 0.42	0.25 +or- 0.11	-68.0 +or- 27.0	42.0 +or- 2.0	-2.94 +or- 0.74	-117.0 +or- 5.2	10.5 +or- 7.4	f,e,g	
Bootes III(Boo III)	209.3000	26.8000	33.03 +or- 2.50	0.33 +or- 0.085	-81.0 +or- 8.0	46.5 +or- 2.0	-5.75 +or- 0.5	197.5 +or- 3.8	14.0 +or- 3.2	h,i,j	
Bootes IV(Boo IV)	233.6890	43.7260	7.60 +or- 0.80	0.64 +or- 0.05	3.0 +or- 4.0	209.0 +or- 19.0	-4.53 +or- 0.22			k	
Canes Venatici I(CVn I)	202.0091	33.5521	7.12 +or- 0.21	0.44 +or- 0.03	80.0 +or- 2.0	210.0 +or- 6.0	-8.8 +or- 0.06	30.9 +or- 0.6	7.6 +or- 0.4	l,e,m	
Canes Venatici II(CVn II)	194.2927	34.3226	1.52 +or- 0.24	0.4 +or- 0.13	9.0 +or- 15.0	160.0 +or- 4.5	-5.17 +or- 0.32	-128.9 +or- 1.2	4.6 +or- 0.8	n,e,m	
Carina(Car)	100.4065	-50.9593	10.10 +or- 0.10	0.36 +or- 0.01	60.0 +or- 1.0	105.6 +or- 5.4	-9.43 +or- 0.05	222.9 +or- 0.1	6.6 +or- 1.2	o,e,p	
Carina II(Car II)	114.1066	-57.9991	8.69 +or- 0.75	0.34 +or- 0.07	170.0 +or- 9.0	37.4 +or- 0.4	-4.57 +or- 0.1	477.2 +or- 1.2	3.4 +or- 1.0	q,r	
Carina III(Car III)	114.6298	-57.8997	3.75 +or- 1.00	0.55 +or- 0.18	150.0 +or- 14.0	27.8 +or- 0.6	-2.4 +or- 0.2	284.6 +or- 3.25	5.6 +or- 3.2	q,r	
Centaurus I(Cen I)	189.5850	-40.9020	2.90 +or- 0.45	0.4 +or- 0.1	20.0 +or- 11.0	116.3 +or- 1.1	-5.55 +or- 0.11			s	
Cetus II(Cet II)	19.4700	-17.4200	1.90 +or- 0.75	0.0 +or- 0.0	0.0 +or- 0.0	30.0 +or- 3.0	0.0 +or- 0.68			t	
Cetus III(Cet III)	31.3310	-4.2700	1.23 +or- 0.30	0.76 +or- 0.07	101.0 +or- 5.5	251.0 +or- 17.5	-2.45 +or- 0.565			u	
Columba I(Col I)	82.8570	-28.0425	2.20 +or- 0.20	0.3 +or- 0.1	24.0 +or- 9.0	183.0 +or- 10.0	-4.2 +or- 0.2	153.7 +or- 4.9		v,w	
Coma Berenices(CB)	186.7454	23.9069	5.64 +or- 0.30	0.37 +or- 0.05	-57.0 +or- 4.0	42.0 +or- 1.5	-4.38 +or- 0.25	98.1 +or- 0.9	4.6 +or- 0.8	e,x,m	
Crater II(Cra II)	177.3100	-18.4130	31.20 +or- 2.50	0.0 +or- 0.0	0.0 +or- 0.0	117.5 +or- 1.1	-8.2 +or- 0.1	87.5 +or- 0.4	2.7 +or- 0.3	y,z	
Draco(Dra)	260.0684	57.9185	9.67 +or- 0.09	0.29 +or- 0.01	87.0 +or- 1.0	75.8 +or- 5.4	-8.71 +or- 0.05	-290.7 +or- 0.75	9.1 +or- 1.2	aa,e,ab	
Draco II(Dra II)	238.1983	64.5653	3.00 +or- 0.60	0.23 +or- 0.15	76.0 +or- 27.0	21.5 +or- 0.4	-0.8 +or- 0.7	-342.5 +or- 1.15		ac	
Eridanus II(Eri II)	56.0925	-43.5329	2.31 +or- 0.12	0.48 +or- 0.04	72.6 +or- 3.3	366.0 +or- 17.0	-7.1 +or- 0.3	75.6 +or- 1.3	6.9 +or- 1.05	ad,ae	
Fornax(For)	39.9583	-34.4997	19.90 +or- 0.06	0.29 +or- 0.02	42.7 +or- 0.3	147.2 +or- 8.4	-13.46 +or- 0.14	55.2 +or- 0.1	12.1 +or- 0.2	e,af,p,ag	
Grus I(Gru I)	344.1660	-50.1680	4.16 +or- 0.64	0.44 +or- 0.09	153.0 +or- 7.5	127.0 +or- 6.0	-4.3 +or- 0.3	-140.5 +or- 2.0		ah,ai,aj	
Grus II(Gru II)	331.0250	-46.4420	5.90 +or- 0.50	0.0 +or- 0.0	0.0 +or- 0.0	55.0 +or- 2.0	-3.5 +or- 0.3	-110.0 +or- 0.5		ai,ak	
Hercules(Her)	247.7722	12.7852	5.63 +or- 0.46	0.69 +or- 0.03	-73.0 +or- 2.0	130.6 +or- 6.1	-5.83 +or- 0.17	45.0 +or- 1.1	5.1 +or- 0.9	e,al,m	
Horologium I(Hor I)	43.8813	-54.1160	1.46 +or- 0.07	0.16 +or- 0.06	69.0 +or- 11.0	79.0 +or- 4.0	-3.4 +or- 0.1	112.8 +or- 2.55	4.9 +or- 1.85	am,an,j	
Horologium II(Hor II)	49.1077	-50.0486	2.09 +or- 0.42	0.52 +or- 15.0	127.0 +or- 11.0	78.0 +or- 8.0	-2.6 +or- 0.25			ao	
