obsid,ra,dec,
96005247 , 169.695884 , 5.530107 ,
471406218 , 90.48829 , 7.10632 ,
332914119 , 203.847131 , 54.063755 ,
106802137 , 186.617864 , 31.256504 ,
143803004 , 256.832072 , 25.892648 ,
459611215 , 267.925938 , 24.686552 ,
538114218 , 151.430893 , 55.391177 ,
388409104 , 22.657622 , 8.290448 ,
102611088 , 166.915784 , 15.626794 ,
221504241 , 206.513909 , 17.226987 ,
35805053 , 138.927876 , 26.598539 ,
41813077 , 210.429279 , -1.335004 ,
253011104 , 352.546479 , 22.160178 ,
149709234 , 201.599513 , 49.722526 ,
585115200 , 253.596925 , 53.381775 ,
105612147 , 195.520573 , -1.316313 ,
132208027 , 221.763849 , -2.624584 ,
457104143 , 224.20414 , 4.847909 ,
418209169 , 56.538129 , 20.481506 ,
266106215 , 329.287342 , -1.8148 ,
459012203 , 269.27708 , 2.265237 ,
170307236 , 343.265929 , 35.414082 ,
523306183 , 162.237544 , 25.170743 ,
473204069 , 326.011533 , 37.222908 ,
67009070 , 320.833884 , -1.771997 ,
51413093 , 239.09002 , -0.988451 ,
487013078 , 118.8894 , 58.741954 ,
388516127 , 50.985454 , 2.085328 ,
164402100 , 9.175973 , 43.27478 ,
33614197 , 191.000026 , 26.97106 ,
309605250 , 198.150726 , 18.125553 ,
385507218 , 122.76035 , 31.212117 ,
233116179 , 239.901925 , 11.045551 ,
140005106 , 189.414086 , -6.568805 ,
8215129 , 12.877477 , 3.785715 ,
221304236 , 153.474453 , 13.324797 ,
527712185 , 192.139186 , 32.187852 ,
567013068 , 170.504882 , -0.050533 ,
457212249 , 282.209334 , 45.941385 ,
309610211 , 197.475773 , 18.614125 ,
216705114 , 165.697737 , -4.101657 ,
202215178 , 76.81253 , 22.483149 ,
120715103 , 172.633117 , 16.110459 ,
301810208 , 193.141303 , 27.315086 ,
552406034 , 200.132716 , -3.019795 ,
228213186 , 177.357386 , 22.146753 ,
278305193 , 53.821371 , 1.730867 ,
449609014 , 187.193034 , 2.095912 ,
232701180 , 267.974252 , 7.608341 ,
104903029 , 165.728959 , 14.774906 ,
120804022 , 171.988723 , 15.661714 ,
476001010 , 52.270109 , 18.252821 ,
173313154 , 343.618258 , 8.843587 ,
299905171 , 46.825043 , 0.684342 ,
422608015 , 183.609911 , 28.328192 ,
341809029 , 265.121074 , 20.948302 ,
302216159 , 105.68969 , 29.505215 ,
496401008 , 123.313045 , 44.65892 ,
531406130 , 188.089484 , 24.385226 ,
285809037 , 185.948298 , 6.433609 ,
433110040 , 178.878435 , 34.716474 ,
446713061 , 215.368814 , 49.34201 ,
461601095 , 220.914296 , 38.590587 ,
34110184 , 151.659505 , 27.858566 ,
453813238 , 270.210637 , 18.643776 ,
309605141 , 199.169919 , 17.792734 ,
353313033 , 343.586986 , 22.321915 ,
163316155 , 44.973718 , 38.174371 ,
528010250 , 71.642374 , 2.176407 ,
327506068 , 198.319957 , 0.15514 ,
449913024 , 258.575951 , 4.058007 ,
307215067 , 112.54078 , 29.499063 ,
220706179 , 190.051179 , 9.55642 ,
14708211 , 26.390763 , 28.797395 ,
576807053 , 257.713941 , 33.277111 ,
339601196 , 211.478046 , 5.295699 ,
402809103 , 74.447403 , 16.288116 ,
247813127 , 341.701982 , 5.290939 ,
335314228 , 229.794862 , 16.720034 ,
562710043 , 242.161474 , 28.365798 ,
232704170 , 267.15204 , 9.768971 ,
3401229 , 113.02429 , 26.390879 ,
418114212 , 167.87959 , 1.478 ,
237913015 , 247.486225 , 20.347024 ,
238408053 , 180.7571 , 2.998304 ,
162401161 , 47.710803 , 20.123749 ,
263408106 , 336.812235 , -3.527509 ,
107014236 , 56.800125 , 3.668442 ,
333414152 , 210.832 , 46.656629 ,
118508012 , 227.069046 , -2.853081 ,
66813065 , 39.907282 , 3.499095 ,
33505110 , 177.259972 , 27.424999 ,
377701111 , 325.508372 , 8.668021 ,
215605230 , 122.21765 , 8.819677 ,
418613142 , 185.107261 , 10.912389 ,
266110101 , 325.425124 , -0.861993 ,
377702171 , 323.143063 , 9.552449 ,
392109157 , 124.97064 , 16.565446 ,
335913189 , 224.762225 , 13.730522 ,
470015156 , 345.23944 , 29.426562 ,
29303049 , 167.013832 , 26.2509 ,
502009100 , 163.374128 , 29.427155 ,
372814224 , 103.20135 , 16.167727 ,
283508140 , 74.684974 , 18.673445 ,
353808081 , 292.5895 , 50.055889 ,
584213056 , 254.989874 , 46.112453 ,
574513173 , 234.53885 , 21.174463 ,
3409203 , 114.42586 , 29.187368 ,
462404222 , 287.249142 , 25.767802 ,
156109090 , 266.143132 , 34.276958 ,
189209201 , 141.274672 , 33.300723 ,
242915065 , 240.9618 , 36.541975 ,
242903180 , 241.365998 , 35.438679 ,
121603166 , 145.714811 , 45.167588 ,
143113187 , 263.138891 , 40.934476 ,
347205132 , 192.10728 , 8.042052 ,
308708111 , 196.155847 , 36.8023 ,
33111090 , 156.588541 , 47.887206 ,
340414152 , 125.286528 , 7.392988 ,
569507010 , 275.84163 , 22.582847 ,
498115071 , 15.086853 , 7.633053 ,
575516044 , 254.004108 , 22.561764 ,
203403203 , 20.587869 , -1.864079 ,
278902200 , 35.344205 , 0.675404 ,
302302170 , 130.121373 , -3.912311 ,
1205117 , 340.450225 , 30.366018 ,
68112010 , 60.554413 , 4.74266 ,
343516185 , 182.531429 , 18.518197 ,
242407120 , 263.679087 , -0.108255 ,
430904165 , 148.144697 , 14.738039 ,
199612078 , 134.3977 , 33.929315 ,
233102029 , 239.882359 , 8.320024 ,
242404207 , 262.795685 , 1.468739 ,
347703160 , 271.144645 , 6.901863 ,
378306196 , 18.41898 , 37.949661 ,
248516104 , 323.349488 , 16.882721 ,
369113242 , 292.190708 , 43.185289 ,
