#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-23T11:39:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ce68301a8e7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/738/79&tab:{J/ApJ/738/79/table1}&key:source=J/ApJ/738/79&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/738/79/table1
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=gmag
#-out=u-g
#-out=g-r
#-out=D0.2
#-out=fm
#-out=cHg
#-out=bHg
#-out=d
#-out=r
#-out=x
#-out=y
#-out=z
#-out=HRV
#-out=e_HRV
#-out=Vgal
#-out=DR8
#DR8=DR8
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#

#RESOURCE=yCat_17380079
#Name: J/ApJ/738/79
#Title: SDSS-DR8 BHB stars in the Milky Way's halo (Xue+, 2011)
#Table	J_ApJ_738_79_table1:
#Name: J/ApJ/738/79/table1
#Title: *List of 4985 blue horizontal-branch (BHB) stars selected from SDSS DR8
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F10.6)	[0.02/359.85] Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F10.6)	[-81.32/88.37] Galactic latitude	[ucd=pos.galactic.lat]
#Column	gmag	(F5.2)	[12.6/20.1] Extinction-corrected g band magnitude	[ucd=phot.mag;em.opt.B]
#Column	u-g	(F5.2)	(u-g) color index after extinction correction	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	g-r	(F5.2)	(g-r) color index after extinction correction	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	D0.2	(F5.2)	H{delta} line width at 20% below local continuum	[ucd=spect.line.width;em.line.Hdelta]
#Column	fm	(F5.2)	H{delta} line flux relative to continuum at line core	[ucd=phot.flux;em.line.Hdelta;spect.line]
#Column	cHg	(F5.2)	The c of H{gamma} line	[ucd=stat.fit.param]
#Column	bHg	(F5.2)	The b of H{gamma} line	[ucd=stat.fit.param]
#Column	d	(F4.1)	[2.3/77.1] Distance to the Sun (1)	[ucd=pos.distance;pos.heliocentric]
#Column	r	(F4.1)	Distance to the Galactic center (1)	[ucd=pos.distance;pos.galactocentric]
#Column	x	(F5.1)	Galactocentric x-position (1)	[ucd=pos.distance;pos.galactocentric]
#Column	y	(F5.1)	Galactocentric y-position (1)	[ucd=pos.distance;pos.galactocentric]
#Column	z	(F5.1)	Galactocentric z-postiion (1)	[ucd=phot.color;pos.galactocentric]
#Column	HRV	(F6.1)	[-476.2/456.4] Heliocentic radial velocity	[ucd=spect.dopplerVeloc]
#Column	e_HRV	(F6.1)	[0.9/22.5] Error in HRV	[ucd=stat.error]
#Column	Vgal	(F6.1)	Galactocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.galactocentric]
#Column	DR8	(A3)	Display the SDSS-DR8 photometric catalog (II/306) within 1.5"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS online data for this star	[ucd=meta.ref.url]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000;DEJ2000;GLON;GLAT;gmag;u-g;g-r;D0.2;fm;cHg;bHg;d;r;x;y;z;HRV;e_HRV;Vgal;DR8;Sloan;SimbadName
deg;deg;deg;deg;mag;mag;mag;0.1nm; ; ;0.1nm;kpc;kpc;kpc;kpc;kpc;km/s;km/s;km/s; ; ;
---------;---------;----------;----------;-----;-----;-----;-----;-----;-----;-----;----;----;-----;-----;-----;------;------;------;---;-----;------------------------
331.04739;+06.29243; 66.235764;-37.543682;18.94; 1.19;-0.07;22.86; 0.25; 0.86; 9.17;46.6;44.7; -6.9;-33.8;-28.4;-115.8;   7.7;  46.4;DR8;Sloan;SDSS J220411.37+061732.6
330.60693;+06.42941; 66.000389;-37.124928;16.96; 1.21;-0.12;26.30; 0.23; 0.93; 9.65;19.1;18.2;  1.8;-13.9;-11.6;-121.4;   2.0;  41.5;DR8;Sloan;SDSS J220225.66+062545.8
330.92496;+07.10858; 66.898819;-36.909523;17.05; 1.16;-0.14;27.42; 0.20; 0.94; 9.45;20.0;19.1;  1.7;-14.7;-12.0;-275.2;   2.3;-110.8;DR8;Sloan;SDSS J220341.99+070630.8
330.81213;+07.42538; 67.099251;-36.614384;16.05; 1.14;-0.17;26.18; 0.22; 1.06; 9.72;12.6;12.6;  4.1; -9.3; -7.5;   4.8;   1.3; 170.1;DR8;Sloan;SDSS J220314.91+072531.2
330.16763;+06.32160; 65.538742;-36.867428;18.35; 1.25;-0.14;25.37; 0.16; 0.97; 9.92;36.4;34.6; -4.1;-26.5;-21.8;-159.2;   4.7;   3.8;DR8;Sloan;SDSS J220040.22+061917.7
330.37588;+07.41946; 66.734512;-36.296391;16.39; 1.21;-0.06;22.91; 0.20; 0.90; 8.33;14.4;14.1;  3.4;-10.6; -8.5;-171.1;   1.9;  -5.4;DR8;Sloan;SDSS J220130.20+072510.0
330.38074;+07.12824; 66.468353;-36.493710;19.12; 1.24;-0.09;25.80; 0.32; 0.98; 9.59;51.8;49.8; -8.6;-38.2;-30.8;-302.2;  10.2;-137.3;DR8;Sloan;SDSS J220131.37+070741.6
330.15549;+07.23033; 66.379021;-36.258785;16.51; 1.18;-0.05;23.00; 0.22; 0.83; 7.67;15.2;14.7;  3.1;-11.2; -9.0;-185.1;   1.8; -19.8;DR8;Sloan;SDSS J220037.31+071349.1
330.07449;+05.72678; 64.899216;-37.186333;17.73; 1.19;-0.10;25.55; 0.27; 0.89; 9.19;27.3;25.7; -1.2;-19.7;-16.5;-187.9;   3.3; -26.4;DR8;Sloan;SDSS J220017.93+054337.2
330.79892;+05.45810; 65.236534;-37.907768;17.17; 1.17;-0.15;27.41; 0.24; 1.01;10.44;21.1;20.0;  1.0;-15.1;-13.0; -29.2;   2.5; 131.0;DR8;Sloan;SDSS J220311.74+052729.1
241.18431;+35.82175; 57.356461; 48.304852;16.45; 1.16;-0.18;24.60; 0.21; 1.02; 9.84;15.2;14.4;  2.6; -8.5; 11.3;-281.2;   2.8;-146.1;DR8;Sloan;SDSS J160444.23+354918.3
241.63486;+36.33069; 58.136288; 47.957394;16.03; 1.24;-0.12;24.18; 0.24; 0.89; 9.07;12.5;12.2;  3.6; -7.1;  9.3; -49.8;   2.2;  87.2;DR8;Sloan;SDSS J160632.36+361950.5
240.30682;+36.49534; 58.350163; 49.029408;16.85; 1.17;-0.24;24.68; 0.23; 1.03;10.51;18.2;17.2;  1.7;-10.2; 13.8; -79.4;   3.0;  55.2;DR8;Sloan;SDSS J160113.63+362943.2
239.62912;+36.41263; 58.214554; 49.573608;16.03; 1.25;-0.16;26.30; 0.24; 1.00;10.10;12.5;12.3;  3.7; -6.9;  9.5;-447.7;   2.3;-314.7;DR8;Sloan;SDSS J155830.99+362445.4
239.80662;+35.67268; 57.079052; 49.418011;18.10; 1.10;-0.01;23.28; 0.31; 1.01;10.49;31.6;29.7; -3.2;-17.3; 24.0; -75.8;   8.5;  56.2;DR8;Sloan;SDSS J155913.58+354021.6
239.16270;+36.15562; 57.811970; 49.947468;17.49; 1.09;-0.04;24.49; 0.22; 0.85; 9.14;23.9;22.4; -0.2;-13.0; 18.3;-328.0;   4.3;-196.4;DR8;Sloan;SDSS J155639.05+360920.2
240.00220;+37.72831; 60.235611; 49.271214;15.71; 1.14;-0.24;25.10; 0.22; 1.11; 9.50;10.5;11.0;  4.6; -6.0;  8.0; -74.9;   2.1;  61.3;DR8;Sloan;SDSS J160000.52+374341.9
240.18533;+36.96352; 59.063755; 49.130413;15.64; 1.26;-0.16;26.86; 0.22; 0.95; 9.31;10.4;10.8;  4.5; -5.8;  7.9; -52.4;   1.8;  82.8;DR8;Sloan;SDSS J160044.48+365748.6
241.40501;+37.24717; 59.501842; 48.159409;16.74; 1.20;-0.22;26.59; 0.23; 1.06; 9.79;17.3;16.4;  2.1;-10.0; 12.9; -79.5;   2.6;  58.7;DR8;Sloan;SDSS J160537.20+371449.8
242.00618;+36.56854; 58.503296; 47.665779;17.57; 1.09; 0.00;19.43; 0.34; 0.81; 7.93;24.8;23.2; -0.7;-14.2; 18.3;  12.3;   5.0; 150.5;DR8;Sloan;SDSS J160801.48+363406.7
242.34290;+36.88058; 58.976307; 47.404568;17.06; 1.20;-0.10;25.15; 0.23; 0.92; 8.39;20.1;18.8;  1.0;-11.6; 14.8;-358.7;   3.0;-219.3;DR8;Sloan;SDSS J160922.29+365250.1
245.69170;+30.28357; 49.972298; 43.968136;16.04; 1.18;-0.23;26.68; 0.22; 1.02; 9.96;12.5;11.3;  2.2; -6.9;  8.7;-181.0;   2.2; -47.3;DR8;Sloan;SDSS J162246.00+301700.8
245.31712;+30.54081; 50.250549; 44.329594;17.08; 1.13;-0.20;27.41; 0.21; 1.00;10.05;19.8;17.6; -1.0;-10.9; 13.8; -70.5;   3.3;  63.0;DR8;Sloan;SDSS J162116.11+303226.9
244.73749;+29.84966; 49.177105; 44.707577;17.28; 1.29;-0.11;25.55; 0.22; 0.93; 9.77;22.2;19.8; -2.3;-11.9; 15.6;-142.4;   3.8; -11.6;DR8;Sloan;SDSS J161856.99+295058.7
244.52998;+30.77735; 50.427330; 45.035740;16.91; 1.14;-0.17;25.98; 0.23; 0.95;10.20;18.7;16.7; -0.4;-10.2; 13.2;-143.3;   2.9; -11.0;DR8;Sloan;SDSS J161807.19+304638.4
244.06842;+30.75462; 50.309052; 45.424160;17.59; 1.18;-0.23;25.56; 0.23; 1.13;10.42;25.6;23.2; -3.5;-13.8; 18.3;-179.2;   4.5; -48.0;DR8;Sloan;SDSS J161616.41+304516.6
243.72766;+30.97292; 50.555180; 45.745937;16.95; 1.22;-0.15;27.12; 0.23; 1.04;10.26;19.1;17.1; -0.4;-10.3; 13.6;-238.4;   2.8;-107.4;DR8;Sloan;SDSS J161454.63+305822.4
244.03792;+30.18349; 49.499966; 45.360500;16.73; 1.19;-0.12;26.56; 0.23; 0.92; 9.75;17.2;15.3;  0.1; -9.2; 12.2;-166.2;   2.7; -36.2;DR8;Sloan;SDSS J161609.09+301100.6
244.09019;+30.31738; 49.698330; 45.337452;17.60; 1.25;-0.10;25.49; 0.27; 0.95; 9.15;25.7;23.2; -3.7;-13.8; 18.3;-145.0;   4.5; -14.6;DR8;Sloan;SDSS J161621.64+301902.6
245.96712;+31.97360; 52.343483; 44.001343;16.40; 1.11;-0.28;25.74; 0.22; 1.14; 9.55;14.5;13.1;  1.6; -8.2; 10.0; -87.1;   2.5;  50.5;DR8;Sloan;SDSS J162352.10+315824.9
245.39564;+32.11167; 52.438778; 44.500393;16.75; 1.22;-0.25;26.15; 0.24; 1.06; 9.60;17.4;15.6;  0.4; -9.8; 12.2; -51.8;   2.6;  84.9;DR8;Sloan;SDSS J162134.95+320641.9
244.75410;+32.36423; 52.689320; 45.071903;17.56; 1.22;-0.16;26.74; 0.22; 0.94; 9.63;25.2;23.0; -2.8;-14.2; 17.9; -94.7;   3.9;  41.2;DR8;Sloan;SDSS J161900.98+322151.2
243.48006;+31.83679; 51.743191; 46.074097;16.64; 1.26;-0.18;27.39; 0.20; 1.01; 9.96;16.5;15.0;  0.9; -9.0; 11.9; -10.1;   2.4; 122.1;DR8;Sloan;SDSS J161355.21+315012.4
245.16148;+31.05470; 50.931332; 44.543285;17.12; 1.23;-0.20;26.80; 0.21; 0.91; 9.30;20.6;18.4; -1.2;-11.4; 14.4; -89.0;   2.7;  45.2;DR8;Sloan;SDSS J162038.75+310316.8
244.56169;+31.76162; 51.812210; 45.153019;18.24; 1.34;-0.23;26.09; 0.23; 1.02; 9.44;34.5;31.9; -7.0;-19.1; 24.5;-142.7;   5.2;  -8.4;DR8;Sloan;SDSS J161814.80+314541.8
243.94636;+31.90650; 51.916489; 45.690533;16.53; 1.12;-0.25;26.02; 0.23; 1.08; 9.87;15.4;13.9;  1.4; -8.5; 11.0;-180.0;   2.3; -46.7;DR8;Sloan;SDSS J161547.12+315423.4
189.81038;+34.19883;142.520905; 82.459862;16.42; 1.21;-0.17;26.51; 0.25; 0.92; 9.98;14.9;17.7;  9.6; -1.2; 14.8; 147.8;   2.5; 171.9;DR8;Sloan;SDSS J123914.49+341155.8
189.71181;+35.15101;140.696945; 81.538467;16.20; 1.22;-0.12;26.09; 0.24; 0.92; 9.48;13.5;16.4;  9.5; -1.3; 13.3; 153.0;   2.2; 180.0;DR8;Sloan;SDSS J123850.83+350903.6
