#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-09T15:11:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dee63311dd8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:J/ApJ/784/170&tab:{J/ApJ/784/170/table4}&key:source=J/ApJ/784/170/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/784/170/table4
#-order=I
#-out=SDSS
#SDSS=DR9
#-out=RAJ2000
#-out=DEJ2000
#-out=rmag
#-out=g-r
#-out=HRV
#-out=Teff
#-out=[Fe/H]
#-out=logg
#-out=DMpeak
#-out=rMag
#-out=Dist
#-out=Rgc
#-out=pRGB
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#

#RESOURCE=yCat_17840170
#Name: J/ApJ/784/170
#Title: The SEGUE K giant survey. II. Distances of 6036 stars (Xue+, 2014)
#Coosys	G:	galactic
#Table	J_ApJ_784_170_table4:
#Name: J/ApJ/784/170/table4
#Title: List of 6036 K giants selected from SDSS DR9
#Column	_Glon	(F10.6)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F10.6)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	SDSS	(A3)	Display the photometric data from SDSS DR9 (cat. V/139)	[ucd=meta.ref.url]
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F6.3)	[13.8/19.6] Extinction-corrected r band magnitude (r_0_)	[ucd=phot.mag;em.opt.R]
#Column	g-r	(F6.3)	[0.5/1.3] The (g-r) color index after extinction correction (g-r)_0_	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	HRV	(F6.1)	[-506.5/419.4] Heliocentic radial velocity	[ucd=spect.dopplerVeloc]
#Column	Teff	(I4)	[4025/5691] Effective temperature (SSPP) (2)	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	[-3.6/0.32] Metallicity (SSPP) (2)	[ucd=phys.abund.Z]
#Column	logg	(F5.2)	[0.18/3.5] Log of the surface gravity (SSPP) (2)	[ucd=phys.gravity]
#Column	DMpeak	(F5.2)	[13.1/20.4] Distance modulus at peak of distance modulus likelihood (DM_peak_) (4)	[ucd=phot.mag.distMod]
#Column	rMag	(F5.2)	[-3.2/1.2] Absolute magnitude in r band (M_r_) (6)	[ucd=phys.magAbs]
#Column	Dist	(F6.2)	[4.2/120.3] Distance to Sun (d) (6)	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F6.2)	[4.79/125.1] Distance to Galactic center (r_GC_) (6)	[ucd=pos.distance]
#Column	pRGB	(F5.2)	[0.45/1] Chance of being clearly on the Red-Giant Branch (RGB), above the level of the Horizontal Branch (HB) (P_aboveHB_) (7)	[ucd=stat.fit.goodness]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	SimbadName	(a27)	Simbad column added by the CDS	[ucd=meta.id]
_Glon;_Glat;SDSS;RAJ2000;DEJ2000;rmag;g-r;HRV;Teff;[Fe/H];logg;DMpeak;rMag;Dist;Rgc;pRGB;Sloan;SimbadName
deg;deg; ;deg;deg;mag;mag;km/s;K;[-];[cm/s2];mag;mag;kpc;kpc; ; ;
----------;----------;---;--------;--------;------;------;------;----;-----;-----;-----;-----;------;------;-----;-----;---------------------------
244.009569;+43.923844;DR9;154.7659;-00.8354;17.257; 0.965;  43.7;4626;-0.71; 3.28;18.13;-0.88; 42.35; 45.51; 1.00;Sloan;SDSS J101903.83-005007.2
268.024646;+56.920578;DR9;174.6570;-00.9330;17.036; 0.590; 147.0;5259;-1.50; 2.59;16.37; 0.67; 18.78; 20.55; 0.67;Sloan;SDSS J113837.68-005558.6
296.374801;+63.744366;DR9;189.9634;+01.0202;17.078; 0.558; 122.7;5296;-1.89; 2.99;16.41; 0.66; 19.17; 19.27; 0.75;Sloan;SDSS J123951.21+010112.7
309.824085;+62.159250;DR9;196.0723;-00.5404;16.891; 0.526;-169.5;5158;-2.12; 1.75;16.03; 0.86; 16.05; 15.64; 0.51;Sloan;SDSS J130417.35-003225.7
329.603354;+59.796476;DR9;205.9106;-00.3442;18.067; 0.631;  86.5;4901;-1.23; 1.98;17.68; 0.39; 34.38; 31.74; 0.66;Sloan;SDSS J134338.53-002038.9
337.448536;+58.181453;DR9;210.2422;+00.0477;14.833; 0.525; -99.1;5262;-2.29; 2.48;14.13; 0.71;  6.69;  7.53; 0.51;Sloan;2MASS J14005813+0002518
346.739847;+55.873886;DR9;215.7155;+00.9821;16.305; 0.954;  59.0;4496;-2.32; 0.90;18.99;-2.69; 62.81; 58.82; 1.00;Sloan;SDSS J142251.72+005855.5
352.564346;+53.057659;DR9;220.1168;+01.0312;17.411; 0.672;   2.4;4885;-1.78; 0.81;18.01;-0.60; 40.04; 35.85; 1.00;Sloan;SDSS J144028.03+010152.1
283.431359;+61.482214;DR9;183.6889;+00.0071;18.387; 0.564; -13.4;5092;-1.71; 2.83;17.42; 0.96; 30.51; 30.67; 0.62;Sloan;MGC 30757
273.404884;+56.990820;DR9;177.2730;-02.2633;17.881; 0.631;  30.8;5081;-1.29; 2.35;17.46; 0.42; 31.01; 31.77; 0.71;Sloan;SDSS J114905.51-021547.7
164.788438;+37.073224;DR9;129.3682;+53.4918;17.638; 0.607; -29.9;5124;-1.28; 3.17;16.95; 0.69; 24.56; 31.14; 0.49;Sloan;SDSS J083728.38+532930.1
187.296016;-50.498615;DR9;048.0843;-06.1372;16.880; 0.554;  41.9;5158;-2.24; 2.07;16.63; 0.25; 21.19; 26.96; 0.89;Sloan;SDSS J031220.27-060814.2
231.327571;+35.454828;DR9;142.1955;+02.0469;17.810; 0.568; 229.0;5212;-2.03; 1.88;17.43; 0.38; 30.58; 35.33; 0.86;Sloan;SDSS J092846.93+020249.0
123.821770;+49.270708;DR9;191.3196;+67.8469;15.786; 1.188; -97.7;4327; 0.32; 2.56;15.49; 0.29; 12.55; 17.16; 0.99;Sloan;SDSS J124516.67+675048.3
250.446507;+51.244057;DR9;163.0834;+00.9345;16.636; 0.648; 414.7;5007;-1.16; 2.09;16.37; 0.26; 18.83; 21.95; 0.68;Sloan;SDSS J105220.03+005604.4
280.356633;+64.649962;DR9;183.3818;+03.4529;16.224; 1.280;  74.4;4069;-1.07; 0.38;18.73;-2.51; 55.75; 55.71; 1.00;Sloan;2MASS J12133162+0327104
289.425379;+64.077619;DR9;186.9964;+01.8226;15.870; 1.157;  38.9;4409;-0.81; 0.97;17.85;-1.98; 37.17; 36.86; 1.00;Sloan;SDSS J122759.13+014921.2
312.640118;+65.808973;DR9;196.8282;+03.2369;16.172; 1.140;  19.2;4437;-0.57; 0.78;17.36;-1.19; 29.69; 28.53; 1.00;Sloan;SDSS J130718.75+031413.0
