name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S0,3830749024282130176,154.76597003140324,0.2380517696075766,-0.8353587970931493,0.1749253397919648,-0.32325311659169675,0.2663151118958691,-11.787686007499651,0.38090520155620594,-0.6938149450268013,0.3005439907442688,1658.2953139916951,4.844556443355913,17.639212,904.1298506586311,12.359029250298905,1.4698124,,,NOT_AVAILABLE,,,0.0934736,8.123930346753749E-5
S1,3794153154141927424,174.6570201109729,0.09124896097196525,-0.9329608410183273,0.060754999510252254,-0.22885713610292582,0.10031450890444672,-1.9658001761667707,0.19235996686877976,-2.5442798702465295,0.11454809821549294,2704.470348237584,2.9797864479564753,17.10816,1320.264749251595,7.958297994983567,1.0418434,,,NOT_AVAILABLE,,,-0.13170023,4.40451357660865E-5
S2,3696323419866199168,189.96337356359453,0.09367978742189913,1.020244802778246,0.07119591467594678,0.11744068327278273,0.11387219742367628,-2.9953926209574577,0.2411144635820374,-3.1498053457661053,0.12396636053230128,2357.5454017472134,1.7154541077922576,17.257215,1338.2332960045244,10.126523398373491,0.9605408,,,NOT_AVAILABLE,,,-0.45706412,5.2006599382615884E-5
S3,3689059354562197376,196.07232680619356,0.09198948749855919,-0.5404986201540576,0.05423785466315547,-0.05835035213508995,0.10468022094373161,-3.729665410972325,0.22341544468727306,-1.1988077295502297,0.10011020525716659,3067.170193488225,2.5113688655954216,16.971521,1521.2440195525242,12.913917269599038,1.012886,,,NOT_AVAILABLE,5298.0,,-0.7351374,1.0217081684014498E-4
S4,3662290988069621376,205.91056872798836,0.16970048612569427,-0.34415636309153774,0.1286249152761324,-0.09900695871498429,0.22309779465244406,-1.3519832063453296,0.31446801249798667,-1.4776847295857711,0.2326980778616784,1011.093821258248,2.2766854445378053,18.176388,464.9976527320478,8.54331023250625,1.1767025,,,NOT_AVAILABLE,,,-0.26886204,5.367306125483548E-5
S5,3660547304362530304,210.242164660226,0.039632514329977726,0.047734250776954736,0.03130821036654743,0.11953352982743908,0.04494444443113841,0.6180071621828673,0.08159497567573654,-3.105850447924141,0.06627817825861797,19164.447663410374,9.91153154831054,14.982125,9581.016061520651,57.390791244165506,1.0250082,,,NOT_AVAILABLE,5209.6465,,-0.15699778,4.9214617608919146E-5
S6,3654414842682492544,215.71553212777323,0.06686403870690545,0.9821154394565081,0.06695396040922742,-0.1079960339882829,0.09360374769420628,-1.0001328992876357,0.13953397424160818,-0.4096980550359752,0.1338731843324576,5253.303850849332,6.345357544272894,16.387285,2102.312556933561,19.90933077319322,1.447792,,,NOT_AVAILABLE,4436.51,,-0.1619351,3.5636515284311967E-5
S7,3654841624993130240,220.11678711614755,0.17733394664229205,1.0311592539675414,0.19725611392174944,2.9993225546529013E-4,0.25336433713045337,-1.594255836833705,0.2987302436625447,-0.07323043779528825,0.3008982597201206,1747.856342181423,2.887344809282319,17.582102,807.8736293621225,10.639725790148267,1.2137337,,,NOT_AVAILABLE,,,-0.26060277,4.278274015828036E-5
S8,3698359092629625600,183.68892271211578,0.21527617903716892,0.00708234305835814,0.11746625150443166,0.04937124936743719,0.23715554671320258,-1.1746722896667612,0.6279375173460638,-1.0458732947800446,0.2840570674682594,784.0079785315169,1.6237434585057506,18.452564,388.2485726761566,10.777351183888868,1.069931,,,NOT_AVAILABLE,,,-0.23046492,2.8768201461569164E-5
S9,3794285301696129792,177.27297883419098,0.15395245840014493,-2.263275399349084,0.07551884149215406,0.12357088739010827,0.18353378138508888,-0.14406768481251417,0.3313108080698801,-1.50102969651874,0.1664030739085976,1207.7486360647765,1.3366568754084214,17.983425,564.3780287763699,8.859580664254644,1.1273098,,,NOT_AVAILABLE,,,-0.11381834,3.239807587718642E-5
S10,1030278369872805760,129.36837591995413,0.14371719414196002,53.49173241983114,0.13658970428989065,-0.08465004796558269,0.20011839437432535,-2.309580026878842,0.2812437473922913,-1.0095092802095633,0.2782674231126328,1123.4670955370443,3.049606371766713,18.061964,848.2263536940886,35.90880096859005,1.048357,,,NOT_AVAILABLE,,,-0.26826385,1.2372361347359013E-4
