name ra  dec
S0 331.04739 6.29243 46.6
S1 330.60693 6.42941 19.1
S2 330.92496 7.10858 20.0
S3 330.81213 7.42538 12.6
S4 330.16763 6.3216 36.4
S5 330.37588 7.41946 14.4
S6 330.38074 7.12824 51.8
S7 330.15549 7.23033 15.2
S8 330.07449 5.72678 27.3
S9 330.79892 5.4581 21.1
S10 241.18431 35.82175 15.2
S11 241.63486 36.33069 12.5
S12 240.30682 36.49534 18.2
S13 239.62912 36.41263 12.5
S14 239.80662 35.67268 31.6
S15 239.1627 36.15562 23.9
S16 240.0022 37.72831 10.5
S17 240.18533 36.96352 10.4
S18 241.40501 37.24717 17.3
S19 242.00618 36.56854 24.8
S20 242.3429 36.88058 20.1
S21 245.6917 30.28357 12.5
S22 245.31712 30.54081 19.8
S23 244.73749 29.84966 22.2
S24 244.52998 30.77735 18.7
S25 244.06842 30.75462 25.6
S26 243.72766 30.97292 19.1
S27 244.03792 30.18349 17.2
S28 244.09019 30.31738 25.7
S29 245.96712 31.9736 14.5
S30 245.39564 32.11167 17.4
S31 244.7541 32.36423 25.2
S32 243.48006 31.83679 16.5
S33 245.16148 31.0547 20.6
S34 244.56169 31.76162 34.5
S35 243.94636 31.9065 15.4
S36 189.81038 34.19883 14.9
S37 189.71181 35.15101 13.5
S38 189.06479 34.95169 20.1
S39 190.12596 35.25844 21.9
S40 237.8866 46.69722 23.5
S41 239.18582 46.50371 26.1
S42 240.09689 46.07679 19.5
S43 240.44968 46.71673 23.3
S44 240.71889 46.73228 41.8
S45 191.61989 34.80639 17.9
S46 192.42065 35.59947 13.5
S47 237.45354 46.88743 9.7
S48 190.70216 35.3834 23.9
S49 190.79015 34.80274 35.8
S50 237.15614 46.3964 37.6
S51 190.70453 37.39135 12.6
S52 190.53274 36.59072 26.1
S53 190.44856 36.5891 14.8
S54 192.02428 37.35245 22.5
S55 192.51469 36.22399 11.6
S56 237.06654 45.36848 12.5
S57 237.38354 45.35983 16.5
S58 238.41864 45.10208 20.3
S59 239.36233 45.73473 13.9
S60 239.97899 45.64228 17.7
S61 240.79634 45.63947 11.7
S62 216.3286 8.12452 9.9
S63 252.61171 32.27153 14.3
S64 252.6427 32.45175 15.8
S65 252.89484 32.55025 12.3
S66 252.77425 31.41706 23.2
S67 252.38625 32.25345 13.2
S68 252.58356 32.14343 20.5
S69 252.09529 32.72682 20.5
S70 252.24095 31.5388 11.9
S71 252.06485 31.5924 39.1
S72 251.72391 31.84117 11.9
S73 251.32278 32.77213 20.8
S74 249.99333 31.93201 22.4
S75 215.59457 7.79404 38.0
S76 214.49652 9.8034 9.7
S77 214.32246 9.00641 27.2
S78 214.87639 10.0437 11.3
S79 214.89217 9.4915 12.6
S80 213.77895 9.27565 47.5
S81 213.77232 8.44897 41.8
S82 243.27843 37.91705 14.2
S83 243.22606 38.35021 52.8
S84 243.04904 38.38022 11.1
S85 242.92834 38.73034 16.0
S86 242.7749 38.24004 31.0
S87 242.14037 38.82218 49.0
S88 241.50729 38.43538 28.7
S89 240.68327 38.60077 14.8
S90 240.54864 38.76906 25.8
S91 240.36572 38.94149 14.7
S92 240.73502 39.42757 13.5
S93 240.72575 39.68102 15.3
S94 240.87151 39.40874 10.1
S95 214.64539 7.46023 51.6
S96 214.49748 8.32842 50.0
S97 214.83676 7.25438 49.6
S98 214.77908 7.61678 21.5
S99 214.42741 9.36336 10.1
S100 214.57228 8.82077 45.2
S101 215.04427 9.91998 14.0
S102 251.99882 30.81238 15.5
S103 252.34615 30.45115 17.5
S104 251.28619 30.28084 25.3
S105 251.76063 30.87992 24.7
S106 215.40688 9.63211 14.2
S107 215.89937 9.4038 12.9
S108 251.00699 30.48645 23.1
S109 249.87749 31.25165 20.1
S110 250.41357 32.63784 11.1
S111 243.39448 39.77776 16.9
S112 243.76422 38.97642 20.3
S113 243.42207 39.19459 12.5
