name, ra,  dec,
S0 , 154.7659 , -0.8354 , 42.35 ,
S1 , 174.657 , -0.933 , 18.78 ,
S2 , 189.9634 , 1.0202 , 19.17 ,
S3 , 196.0723 , -0.5404 , 16.05 ,
S4 , 205.9106 , -0.3442 , 34.38 ,
S5 , 210.2422 , 0.0477 , 6.69 ,
S6 , 215.7155 , 0.9821 , 62.81 ,
S7 , 220.1168 , 1.0312 , 40.04 ,
S8 , 183.6889 , 0.0071 , 30.51 ,
S9 , 177.273 , -2.2633 , 31.01 ,
S10 , 129.3682 , 53.4918 , 24.56 ,
S11 , 48.0843 , -6.1372 , 21.19 ,
S12 , 142.1955 , 2.0469 , 30.58 ,
S13 , 191.3196 , 67.8469 , 12.55 ,
S14 , 163.0834 , 0.9345 , 18.83 ,
S15 , 183.3818 , 3.4529 , 55.75 ,
S16 , 186.9964 , 1.8226 , 37.17 ,
S17 , 196.8282 , 3.2369 , 29.69 ,
S18 , 198.8116 , 3.1155 , 45.7 ,
S19 , 201.3625 , 2.1578 , 37.33 ,
S20 , 199.1852 , 3.1588 , 43.46 ,
S21 , 200.9502 , 2.3777 , 31.77 ,
S22 , 204.4276 , 2.0344 , 51.18 ,
S23 , 205.5302 , 3.3583 , 36.46 ,
S24 , 206.8486 , 1.5949 , 49.04 ,
S25 , 207.7454 , 3.2936 , 50.25 ,
S26 , 208.3154 , 2.7109 , 50.82 ,
S27 , 210.4864 , 1.3028 , 51.74 ,
S28 , 211.9029 , 3.3358 , 32.96 ,
S29 , 212.6193 , 2.7401 , 42.46 ,
S30 , 215.3678 , 1.6079 , 54.11 ,
S31 , 210.7142 , 4.2703 , 26.11 ,
S32 , 213.2662 , 3.8843 , 47.11 ,
S33 , 220.6396 , 4.744 , 32.6 ,
S34 , 222.6113 , 4.133 , 48.56 ,
S35 , 223.5357 , 4.6868 , 48.42 ,
S36 , 204.6808 , 62.4513 , 27.92 ,
S37 , 234.3679 , 53.7318 , 22.64 ,
S38 , 246.8833 , 45.3634 , 58.6 ,
S39 , 312.153 , -7.2359 , 29.14 ,
S40 , 310.9277 , -6.6506 , 13.79 ,
S41 , 12.2996 , -10.9613 , 43.78 ,
S42 , 52.016 , -1.1688 , 70.62 ,
S43 , 239.0544 , 49.1994 , 19.99 ,
S44 , 219.7438 , -2.4438 , 31.14 ,
S45 , 149.9247 , 55.8842 , 25.54 ,
S46 , 205.91 , 58.5581 , 22.2 ,
S47 , 315.2372 , -0.2729 , 30.86 ,
S48 , 319.2271 , -0.9975 , 18.07 ,
S49 , 212.5312 , 51.5872 , 13.65 ,
S50 , 120.6132 , 31.458 , 25.26 ,
S51 , 53.6011 , 0.8616 , 25.17 ,
S52 , 49.7393 , -0.0974 , 24.04 ,
S53 , 46.5459 , -0.61 , 20.9 ,
S54 , 43.4283 , -0.7663 , 24.34 ,
S55 , 43.4434 , 1.0528 , 22.87 ,
S56 , 37.8203 , -0.7331 , 26.07 ,
S57 , 36.6489 , -0.7783 , 25.46 ,
S58 , 34.5077 , -0.4364 , 22.07 ,
S59 , 35.3128 , 0.7321 , 29.71 ,
S60 , 34.5137 , -1.0182 , 10.56 ,
S61 , 34.4052 , -0.6911 , 37.81 ,
S62 , 34.1567 , 0.6655 , 18.64 ,
S63 , 31.7676 , -0.7832 , 24.66 ,
S64 , 32.3107 , 0.1192 , 25.36 ,
S65 , 32.7393 , 0.1596 , 25.79 ,
S66 , 26.6712 , -0.32 , 16.31 ,
S67 , 23.4719 , -0.6804 , 25.51 ,
S68 , 21.4526 , -0.62 , 18.8 ,
S69 , 21.8698 , 1.0005 , 25.35 ,
S70 , 20.2757 , 1.1881 , 18.31 ,
S71 , 14.301 , -1.0926 , 17.22 ,
S72 , 2.7524 , -1.084 , 17.95 ,
S73 , 1.6736 , -0.1445 , 25.49 ,
S74 , 1.1398 , 0.9784 , 25.44 ,
S75 , 358.0647 , -0.3334 , 38.86 ,
S76 , 325.9101 , -1.2221 , 11.2 ,
S77 , 315.6071 , 1.0152 , 24.14 ,
S78 , 312.2021 , -0.2434 , 31.04 ,
S79 , 309.509 , -0.9303 , 37.04 ,
S80 , 310.5012 , 0.288 , 39.34 ,
S81 , 4.9407 , -0.1068 , 17.7 ,
S82 , 4.6235 , 0.7557 , 100.8 ,
S83 , 11.4964 , 0.4521 , 26.18 ,
S84 , 9.0037 , -1.0012 , 10.21 ,
S85 , 10.0307 , -0.2305 , 27.01 ,
S86 , 8.218 , 1.1231 , 19.49 ,
S87 , 8.149 , 0.3291 , 48.8 ,
S88 , 8.3725 , 1.0275 , 17.76 ,
