name, ra,  dec,
S0 , 154.7659 , -0.8354 ,
S1 , 174.657 , -0.933 ,
S2 , 189.9634 , 1.0202 ,
S3 , 196.0723 , -0.5404 ,
S4 , 205.9106 , -0.3442 ,
S5 , 210.2422 , 0.0477 ,
S6 , 215.7155 , 0.9821 ,
S7 , 220.1168 , 1.0312 ,
S8 , 183.6889 , 0.0071 ,
S9 , 177.273 , -2.2633 ,
S10 , 129.3682 , 53.4918 ,
S11 , 48.0843 , -6.1372 ,
S12 , 142.1955 , 2.0469 ,
S13 , 191.3196 , 67.8469 ,
S14 , 163.0834 , 0.9345 ,
S15 , 183.3818 , 3.4529 ,
S16 , 186.9964 , 1.8226 ,
S17 , 196.8282 , 3.2369 ,
S18 , 198.8116 , 3.1155 ,
S19 , 201.3625 , 2.1578 ,
S20 , 199.1852 , 3.1588 ,
S21 , 200.9502 , 2.3777 ,
S22 , 204.4276 , 2.0344 ,
S23 , 205.5302 , 3.3583 ,
S24 , 206.8486 , 1.5949 ,
S25 , 207.7454 , 3.2936 ,
S26 , 208.3154 , 2.7109 ,
S27 , 210.4864 , 1.3028 ,
S28 , 211.9029 , 3.3358 ,
S29 , 212.6193 , 2.7401 ,
S30 , 215.3678 , 1.6079 ,
S31 , 210.7142 , 4.2703 ,
S32 , 213.2662 , 3.8843 ,
S33 , 220.6396 , 4.744 ,
S34 , 222.6113 , 4.133 ,
S35 , 223.5357 , 4.6868 ,
S36 , 204.6808 , 62.4513 ,
S37 , 234.3679 , 53.7318 ,
S38 , 246.8833 , 45.3634 ,
S39 , 312.153 , -7.2359 ,
S40 , 310.9277 , -6.6506 ,
S41 , 12.2996 , -10.9613 ,
S42 , 52.016 , -1.1688 ,
S43 , 239.0544 , 49.1994 ,
S44 , 219.7438 , -2.4438 ,
S45 , 149.9247 , 55.8842 ,
S46 , 205.91 , 58.5581 ,
S47 , 315.2372 , -0.2729 ,
S48 , 319.2271 , -0.9975 ,
S49 , 212.5312 , 51.5872 ,
S50 , 120.6132 , 31.458 ,
S51 , 53.6011 , 0.8616 ,
S52 , 49.7393 , -0.0974 ,
S53 , 46.5459 , -0.61 ,
S54 , 43.4283 , -0.7663 ,
S55 , 43.4434 , 1.0528 ,
S56 , 37.8203 , -0.7331 ,
S57 , 36.6489 , -0.7783 ,
S58 , 34.5077 , -0.4364 ,
S59 , 35.3128 , 0.7321 ,
S60 , 34.5137 , -1.0182 ,
S61 , 34.4052 , -0.6911 ,
S62 , 34.1567 , 0.6655 ,
S63 , 31.7676 , -0.7832 ,
S64 , 32.3107 , 0.1192 ,
S65 , 32.7393 , 0.1596 ,
S66 , 26.6712 , -0.32 ,
S67 , 23.4719 , -0.6804 ,
S68 , 21.4526 , -0.62 ,
S69 , 21.8698 , 1.0005 ,
S70 , 20.2757 , 1.1881 ,
S71 , 14.301 , -1.0926 ,
S72 , 2.7524 , -1.084 ,
S73 , 1.6736 , -0.1445 ,
S74 , 1.1398 , 0.9784 ,
S75 , 358.0647 , -0.3334 ,
S76 , 325.9101 , -1.2221 ,
